timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764336770.2974489,9,0,9,,synced,2,,5,5,15,15,2.67,193294336,479799,700624,,
1764336782.3227386,11,0,11,,synced,2,0.16631615849574172,6,6,15,15,2.26,193884160,575911,843986,,
1764336794.3437295,13,0,13,,synced,2,0.16637563618499043,6,6,15,15,1.84,192442368,665584,974756,,
1764336806.3702557,15,0,15,,synced,2,0.1662990596477717,7,7,15,15,1.63,191885312,766523,1130603,,
1764336818.3858607,17,0,17,,synced,2,0.16645021241301583,7,7,15,15,1.34,191811584,860688,1272760,,
1764336830.407491,19,0,19,,synced,2,0.16636678655260406,9,9,15,15,1.29,191451136,960354,1427259,,
1764336842.433541,21,0,21,,synced,2,0.16630564357383718,10,10,15,15,1.17,192315392,1053296,1568823,,
1764336854.455727,23,0,23,,synced,2,0.1663590958582344,10,10,15,15,0.91,192147456,1154714,1721566,,
1764336866.4817278,25,0,25,,synced,2,0.16630632606369503,11,11,15,15,0.85,191082496,1247798,1870101,,
1764336878.4957945,27,0,27,,synced,2,0.1664715246368731,13,13,15,15,0.66,191401984,1343810,2016984,,
1764336890.521475,29,0,29,,synced,2,0.16631075414121035,13,13,15,15,0.63,192507904,1434303,2162635,,
1764336902.549722,31,0,31,,synced,2,0.16627527020548055,15,15,15,15,0.53,192790528,1532700,2317887,,
1764336914.5695457,33,1,33,,synced,2,0.16639179034646476,15,15,15,15,0.5,234053632,1637037,2476911,,
1764336926.5953596,35,1,35,,synced,2,0.16630891100360412,17,17,15,15,0.42,220733440,1735399,2628094,,
1764336938.6214595,37,1,37,,synced,2,0.1663049544955575,18,18,15,15,0.33,215801856,1834691,2784083,,
1764336950.6474338,39,1,39,,synced,2,0.16630669203882462,19,19,15,15,0.35,215121920,1936187,2946316,,
1764336962.6687326,41,1,41,,synced,2,0.1663713729335934,20,20,15,15,0.29,215625728,2028662,3094438,,
1764336974.6952128,43,1,43,,synced,2,0.16629969592833566,21,21,15,15,0.23,215736320,2125846,3237129,,
1764336986.7172961,45,1,45,,synced,2,0.16636051780777322,23,23,15,15,0.19,215187456,2225634,3395719,,
1764336998.7428384,47,1,47,,synced,2,0.16631266656330704,23,23,15,15,0.15,214933504,2324744,3552145,,
1764337010.7744768,49,1,49,,synced,2,0.16622840017216908,22,22,15,15,0.37,215191552,2430653,3713692,,
1764337022.8018215,51,1,51,,synced,2,0.16628774257954096,23,23,15,15,0.54,215060480,2520125,3863943,,
1764337034.8308172,53,1,53,,synced,2,0.1662649186331152,24,24,15,15,1.29,215490560,2611619,4017407,,
1764337046.870731,55,1,55,,synced,2,0.16611414482000547,26,26,15,15,2.72,215625728,2704990,4171503,,
1764337058.908727,57,1,57,,synced,2,0.16614061266426536,26,26,15,15,4.37,216576000,2809239,4329443,,
