timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764347817.4348607,9,0,9,,synced,2,,11,11,45,45,4.91,196427776,943137,1123024,,
1764347829.4607682,11,0,11,,synced,2,0.1663076152264879,12,12,45,45,4.16,196427776,1150016,1368071,,
1764347841.4871113,13,0,13,,synced,2,0.16630159161172764,13,13,45,45,3.24,195366912,1373017,1618346,,
1764347853.5100303,15,0,15,,synced,2,0.16634895486271387,16,16,45,45,2.74,194719744,1590611,1870945,,
1764347865.5346923,17,0,17,,synced,2,0.1663248411502722,18,18,45,45,2.21,194695168,1795555,2121738,,
1764347877.5507832,19,0,19,,synced,2,0.16644348163256284,21,21,45,45,1.87,197197824,2008175,2381188,,
1764347889.577766,21,0,21,,synced,2,0.1662927465578132,23,23,45,45,1.73,198025216,2211232,2629008,,
1764347901.6048746,23,0,23,,synced,2,0.1662910060094736,24,24,45,45,1.58,198172672,2430989,2892466,,
1764347913.632722,25,0,25,,synced,2,0.1662807942079804,28,28,45,45,1.64,198594560,2636132,3153352,,
1764347925.6603482,27,0,27,,synced,2,0.16628384970591517,29,29,45,45,1.34,199151616,2851040,3407858,,
1764347937.6879637,29,0,29,,synced,2,0.16628399803391553,31,31,45,45,1.22,198033408,3060354,3665321,,
1764347949.7112043,31,0,31,,synced,2,0.16634450495929673,33,33,45,45,1.18,198815744,3263533,3925932,,
1764347961.7392912,33,1,33,,synced,2,0.16627748173999032,36,36,45,45,1.14,240902144,3490512,4203106,,
1764347973.7673001,35,1,35,,synced,2,0.1662785595135979,37,37,45,45,1.19,220856320,3699620,4469004,,
1764347985.794743,37,1,37,,synced,2,0.16628638450301023,39,39,45,45,0.93,220856320,3910958,4737506,,
1764347997.8231056,39,1,39,,synced,2,0.1662736717410091,41,41,45,45,0.86,220819456,4129662,5002058,,
1764348009.851123,41,1,41,,synced,2,0.16627844085893836,44,44,45,45,0.8,220680192,4340850,5282266,,
1764348021.8785136,43,1,43,,synced,2,0.16628710968674715,46,46,45,45,0.69,220712960,4555593,5549250,,
1764348033.9029858,45,1,45,,synced,2,0.1663274662406285,48,48,45,45,0.58,220639232,4766753,5830879,,
1764348045.9197419,47,1,47,,synced,2,0.16643426814942475,51,51,45,45,0.45,219443200,4980118,6107905,,
1764348057.947349,49,1,49,,synced,2,0.16628411340032093,51,51,45,45,0.54,220344320,5192358,6379997,,
1764348069.9722445,51,1,51,,synced,2,0.1663216126665864,53,53,45,45,0.45,219500544,5393563,6654201,,
1764348081.999178,53,1,53,,synced,2,0.16629342894182064,55,55,45,45,0.35,220184576,5606695,6932209,,
1764348094.0261412,55,1,55,,synced,2,0.16629301687351347,56,56,45,45,0.3,219803648,5818043,7209822,,
1764348106.0529752,57,1,57,,synced,2,0.16629480361646348,59,59,45,45,0.23,220299264,6030146,7485329,,
