timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression,block_acceptance_latency_ms,block_verification_time_ms,block_execution_time_ms,time_to_finality_seconds,block_delay_total_ms
1764610584.261544,9,0,9,,synced,4,,6,6,25,25,1.11,196898816,1041764,1237284,261.54398918151855,,261.54398918151855,5.0,1.0,,52.0
1764610596.2955759,11,0,11,,synced,4,0.16619533851505044,8,8,25,25,0.94,198754304,1270530,1819066,295.5758571624756,,295.5758571624756,13.0,1.0,,60.0
1764610608.3308115,13,0,13,,synced,4,0.16617871550350294,10,10,25,25,0.79,201203712,1480284,2413982,330.8115005493164,,330.8115005493164,12.0,2.0,,62.0
1764610620.3648624,15,0,15,,synced,4,0.16619507510212886,10,10,25,25,0.86,200990720,1699716,3010435,364.86244201660156,,364.86244201660156,13.0,2.0,,60.0
1764610632.3930373,17,0,17,,synced,4,0.16627626555352365,12,12,25,25,0.81,199401472,1900547,3618687,393.0373191833496,,393.0373191833496,15.0,2.0,,71.0
1764610644.4250267,19,0,19,,synced,4,0.16622355157959284,14,14,25,25,0.63,200441856,2118372,4182601,425.02665519714355,,425.02665519714355,8.0,2.0,,56.0
1764610656.4590108,21,0,21,,synced,4,0.16619599705100754,16,16,25,25,0.76,200732672,2311854,4797488,459.0108394622803,,459.0108394622803,4.0,2.0,,49.0
1764610668.4943683,23,0,23,,synced,4,0.16617703330439246,16,16,25,25,0.67,200531968,2547931,5370979,494.368314743042,,494.368314743042,10.0,2.0,,63.0
1764610680.5284605,25,0,25,,synced,4,0.16619450547454118,18,18,25,25,0.57,200282112,2755460,5990980,528.4605026245117,,528.4605026245117,9.0,2.0,,55.0
1764610692.558014,27,0,27,,synced,4,0.1662572109928562,20,20,25,25,0.48,199266304,2954488,6598575,558.013916015625,,558.013916015625,11.0,1.0,,64.0
1764610704.5919788,29,0,29,,synced,4,0.16619626375955499,21,21,25,25,0.37,199487488,3173229,7188034,591.9787883758545,,591.9787883758545,4.0,1.0,,47.0
1764610716.6260157,31,0,31,,synced,4,0.1661952693690777,24,24,25,25,0.31,199716864,3374688,7801969,626.0156631469727,,626.0156631469727,10.0,4.0,,65.0
1764610728.6552324,33,1,33,,synced,4,0.1662618638308587,24,24,25,25,0.31,230875136,3592751,8402186,655.2324295043945,,655.2324295043945,9.0,1.0,,64.0
1764610740.689287,35,1,35,,synced,4,0.16619502571229902,26,26,25,25,0.42,222363648,3773369,9042390,689.2869472503662,,689.2869472503662,14.0,1.0,,60.0
1764610752.7172472,37,1,37,,synced,4,0.16627923189320082,27,27,25,25,0.36,219250688,3993319,9649940,717.2472476959229,,717.2472476959229,9.0,2.0,,57.0
1764610764.7402236,39,1,39,,synced,4,0.1663481598662077,29,29,25,25,0.36,219009024,4209785,10262506,740.2236461639404,,740.2236461639404,12.0,1.0,,63.0
1764610776.7735224,41,1,41,,synced,4,0.16620546408214107,31,31,25,25,0.3,219254784,4430968,10892769,773.5223770141602,,773.5223770141602,12.0,2.0,,67.0
1764610788.8000586,43,1,43,,synced,4,0.16629892118321632,33,33,25,25,0.24,220307456,4645677,11536645,800.0586032867432,,800.0586032867432,4.0,1.0,,56.0
1764610800.8319159,45,1,45,,synced,4,0.16622537635637596,36,36,25,25,0.27,219480064,4859234,12153782,831.9158554077148,,831.9158554077148,3.0,2.0,,53.0
1764610812.8606935,47,1,47,,synced,4,0.16626793400109213,37,37,25,25,0.39,219840512,5068269,12794806,860.6934547424316,,860.6934547424316,11.0,1.0,,62.0
1764610824.8945646,49,1,49,,synced,4,0.16619755780206702,38,38,25,25,0.38,219336704,5260088,13424727,894.5646286010742,,894.5646286010742,11.0,1.0,,62.0
1764610836.9848385,51,1,51,,synced,4,0.16542222480946864,39,39,25,25,0.48,219635712,5485170,14038242,984.8384857177734,,984.8384857177734,11.0,1.0,,58.0
1764610849.0220869,53,1,53,,synced,4,0.16615092901803222,40,40,25,25,0.44,222019584,5712137,14694802,1022.0868587493896,,1022.0868587493896,13.0,3.0,,64.0
1764610861.1030333,55,1,55,,synced,4,0.16554994337805,41,41,25,25,0.44,222494720,5945467,15375923,1103.0333042144775,,1103.0333042144775,3.0,2.0,,51.0
1764610873.2224863,57,1,57,,synced,4,0.1650239501485954,43,43,25,25,0.45,223547392,6150768,16000756,1222.4862575531006,,1222.4862575531006,13.0,2.0,,60.0
