timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764414296.5142443,0,,0,,synced,4,,0,0,15,15,0.8,185036800,212038,394373,,
1764414308.526926,0,,0,,synced,4,,0,0,15,15,0.68,185421824,236465,450701,,
1764414320.5532022,3,0,3,,synced,4,0.24945377705952068,0,0,15,15,0.67,199049216,294539,537386,,
1764414332.5789168,3,0,3,,synced,4,,0,0,15,15,0.57,198475776,315470,594076,,
1764414344.5963132,3,0,3,,synced,4,,0,0,15,15,0.44,197181440,329138,671566,,
1764414356.6161368,3,0,3,,synced,4,,0,0,15,15,0.37,196591616,350537,755875,,
1764414368.6433923,3,0,3,,synced,4,,0,0,15,15,0.32,196784128,362609,828264,,
1764414380.6696234,3,0,3,,synced,4,,0,0,15,15,0.25,196698112,388774,918787,,
1764414392.6860738,6,0,6,,synced,4,0.249657752402618,0,0,15,15,0.21,202756096,436862,999210,,
1764414404.7125187,6,0,6,,synced,4,,2,2,15,15,0.38,202735616,493459,1105723,,
1764414416.7381172,6,0,6,,synced,4,,2,2,15,15,0.32,202145792,501459,1175117,,
1764414428.7654612,6,0,6,,synced,4,,2,2,15,15,0.25,201338880,527022,1261471,,
1764414440.7912765,6,0,6,,synced,4,,2,2,15,15,0.21,201113600,536559,1332739,,
1764414452.8156536,6,0,6,,synced,4,,3,3,15,15,0.18,200073216,561513,1426126,,
1764414464.8431592,9,0,9,,synced,4,0.24942827638067386,3,3,15,15,0.14,201715712,612266,1508940,,
1764414476.8638096,9,0,9,,synced,4,,3,3,15,15,0.19,201019392,658316,1585264,,
1764414488.882926,9,0,9,,synced,4,,2,2,15,15,0.15,200642560,669682,1654574,,
1764414500.897156,9,0,9,,synced,4,,3,3,15,15,0.43,199720960,698475,1745541,,
1764414512.9234746,9,0,9,,synced,4,,3,3,15,15,0.36,199839744,707210,1814612,,
1764414524.9536686,9,0,9,,synced,4,,3,3,15,15,0.28,200331264,742406,1916050,,
1764414536.9803104,12,0,12,,synced,4,0.24944619108881497,3,3,15,15,0.31,206422016,800673,2093492,,
1764414548.9999592,12,0,12,,synced,4,,3,3,15,15,0.64,204234752,831747,2155196,,
1764414561.016265,13,0,13,,synced,4,0.08322025306369307,3,3,15,15,0.83,206102528,891867,2331451,,
1764414573.0418735,13,0,13,,synced,4,,3,3,15,15,0.85,205201408,932685,2430236,,
1764414585.0683835,13,0,13,,synced,4,,3,3,15,15,1.11,205156352,943295,2502287,,
