timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764417528.2489772,8,0,8,,synced,2,,5,5,15,15,2.89,210657280,803652,948212,,
1764417540.2746978,10,0,10,,synced,2,0.166310200206473,5,5,15,15,2.25,211881984,1032271,1192376,,
1764417552.3009508,12,0,12,,synced,2,0.16630283784105,6,6,15,15,1.9,210669568,1230691,1461849,,
1764417564.3275726,14,0,14,,synced,2,0.16629773765035394,7,7,15,15,1.64,211222528,1404837,1781413,,
1764417576.3478663,16,0,16,,synced,2,0.1663852854028757,7,7,15,15,1.39,210853888,1576857,1966176,,
1764417588.3742578,18,0,18,,synced,2,0.16630092234813365,8,8,15,15,1.17,211640320,1750739,2181390,,
1764417600.3898258,20,0,20,,synced,2,0.16645072434450145,10,10,15,15,0.99,211603456,1934663,2390918,,
1764417612.4152985,22,0,22,,synced,2,0.16631362938555969,10,10,15,15,0.92,214323200,2125865,2685589,,
1764417624.4315243,24,0,24,,synced,2,0.1664416124348667,11,11,15,15,0.72,214114304,2308283,2879695,,
1764417636.4464884,26,0,26,,synced,2,0.16645909074204499,13,13,15,15,0.61,212701184,2490243,3093213,,
1764417648.4733534,28,0,28,,synced,2,0.16629437505838118,13,13,15,15,0.51,215146496,2683704,3331435,,
1764417660.4995394,30,0,30,,synced,2,0.16630376428288782,15,15,15,15,0.4,216109056,2873847,3643539,,
1764417672.5150144,33,1,33,,synced,2,0.24967801866615685,15,15,15,15,0.34,256503808,3095534,3942735,,
1764417684.5409915,34,1,34,,synced,2,0.08315332623693404,16,16,15,15,0.26,238530560,3263056,4132599,,
1764417696.5671403,36,1,36,,synced,2,0.16630427861092623,18,18,15,15,0.22,237998080,3424963,4408045,,
1764417708.5933726,38,1,38,,synced,2,0.16630312467425248,19,19,15,15,0.27,238419968,3631756,4631270,,
1764417720.6118646,40,1,40,,synced,2,0.16641022873419814,19,19,15,15,0.51,237637632,3803687,4845341,,
1764417732.635856,42,1,42,,synced,2,0.16633411837954962,20,20,15,15,0.51,239947776,4003630,5132054,,
1764417744.6518397,44,1,44,,synced,2,0.16644496447119883,21,21,15,15,0.88,240562176,4201830,5428245,,
1764417756.6778998,47,1,47,,synced,2,0.2494582576474766,22,22,15,15,0.74,241205248,4403256,5728215,,
1764417768.7041056,48,1,48,,synced,2,0.08315174531764609,22,22,15,15,0.63,241025024,4610662,6016712,,
1764417780.7268908,50,1,50,,synced,2,0.16635080548567266,24,24,15,15,0.87,241278976,4787788,6238410,,
1764417792.7483122,52,1,52,,synced,2,0.16636967693302873,25,25,15,15,0.74,243167232,4989254,6585873,,
1764417804.7712278,54,1,54,,synced,2,0.16634900104531705,26,26,15,15,0.73,243421184,5198027,6923308,,
1764417816.797105,57,1,57,,synced,2,0.24946205094212084,26,26,15,15,0.77,242446336,5412471,7308872,,
