timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764336337.827028,2,0,2,,synced,14,,0,0,15,15,4.71,191107072,623038,799241,,
1764336349.8527014,2,0,2,,synced,14,,0,0,15,15,14.87,190803968,762069,932395,,
1764336361.8877542,3,0,3,,synced,14,0.08309062025604082,1,1,15,15,13.1,191176704,797865,1042262,,
1764336373.9127154,3,0,3,,synced,14,,1,1,15,15,10.89,191713280,919578,1182705,,
1764336385.9432309,4,0,4,,synced,14,0.08312195812578049,1,1,15,15,15.22,194273280,980563,1283910,,
1764336397.9691744,4,0,4,,synced,14,,2,2,15,15,12.96,194334720,1110142,1401903,,
1764336410.0019026,5,0,5,,synced,14,0.08310667238371655,3,3,15,15,10.39,194719744,1171972,1520816,,
1764336422.0189712,5,0,5,,synced,14,,3,3,15,15,8.87,196349952,1293397,1653375,,
1764336434.0507228,6,0,6,,synced,14,0.08311341777393298,3,3,15,15,13.21,200671232,1339525,1767758,,
1764336446.0785224,6,0,6,,synced,14,,3,3,15,15,11.42,199823360,1481003,1893751,,
1764336458.1090775,7,0,7,,synced,14,0.08312168467555513,4,4,15,15,9.95,200740864,1527939,2009895,,
1764336470.1357353,7,0,7,,synced,14,,4,4,15,15,19.64,199966720,1673548,2157024,,
1764336482.1677258,8,0,8,,synced,14,0.08311176755533536,3,3,15,15,17.08,200454144,1720014,2254187,,
1764336494.1952891,8,0,8,,synced,14,,3,3,15,15,13.54,199610368,1815347,2360455,,
1764336506.232332,9,0,9,,synced,14,0.08307688291427477,4,4,15,15,12.25,200527872,1875257,2466571,,
1764336518.2614923,9,0,9,,synced,14,,4,4,15,15,9.93,199577600,1966249,2573334,,
1764336530.297289,10,0,10,,synced,14,0.08308548488474755,4,4,15,15,8.85,199417856,2023244,2671862,,
1764336542.3178642,10,0,10,,synced,14,,4,4,15,15,7.63,198635520,2121695,2799524,,
1764336554.3469563,11,0,11,,synced,14,0.08313179364616674,5,5,15,15,11.65,199639040,2203521,2934085,,
1764336566.373862,11,0,11,,synced,14,,5,5,15,15,10.34,199340032,2318846,3087298,,
1764336578.404838,12,0,12,,synced,14,0.08311877567188702,5,5,15,15,8.39,199110656,2360036,3178105,,
1764336590.4317317,12,0,12,,synced,14,,5,5,15,15,19.41,198225920,2488166,3311923,,
1764336602.4662588,13,0,13,,synced,14,0.08309424996381977,6,6,15,15,16.87,198795264,2539917,3418099,,
1764336614.4828236,13,0,13,,synced,14,,6,6,15,15,13.37,198299648,2651473,3554198,,
1764336626.5154796,14,0,14,,synced,14,0.08310717133382117,6,6,15,15,16.83,198692864,2703672,3669160,,
