timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression,block_acceptance_latency_ms,block_verification_time_ms,block_execution_time_ms,time_to_finality_seconds,block_delay_total_ms
1764606411.8014266,10,0,10,,synced,9,,3,3,10,10,2.02,193441792,1267782,1572425,3801.426649093628,,3801.426649093628,13.0,1.0,,68.0
1764606423.8280952,12,0,12,,synced,9,0.16629709149467492,4,4,10,10,1.64,192995328,1492261,2109564,3828.0951976776123,,3828.0951976776123,31.0,3.0,,84.0
1764606435.8556924,14,0,14,,synced,9,0.16628425184021875,4,4,10,10,1.39,192749568,1681050,2630380,3855.6923866271973,,3855.6923866271973,14.0,3.0,,65.0
1764606447.8787153,16,0,16,,synced,9,0.16634751661733482,5,5,10,10,1.37,194781184,1887355,3164975,3878.7152767181396,,3878.7152767181396,17.0,4.0,,78.0
1764606459.915173,18,0,18,,synced,9,0.1661618423833836,5,5,10,10,1.3,196423680,2061724,3718611,3915.173053741455,,3915.173053741455,16.0,3.0,,73.0
1764606471.9469063,20,0,20,,synced,9,0.16622708917970003,6,6,10,10,1.1,196960256,2284887,4315459,3946.906328201294,,3946.906328201294,20.0,3.0,,71.0
1764606483.9827738,22,0,22,,synced,9,0.16616999213998424,7,7,10,10,1.15,195391488,2545084,4901948,3982.773780822754,,3982.773780822754,25.0,3.0,,76.0
1764606496.0147264,24,0,24,,synced,9,0.16622405882399216,7,7,10,10,0.98,197545984,2798663,5467316,4014.726400375366,,4014.726400375366,14.0,9.0,,72.0
1764606508.0491574,26,0,26,,synced,9,0.1661898267737289,8,8,10,10,0.76,197009408,3025642,6047695,4049.1573810577393,,4049.1573810577393,13.0,1.0,,73.0
1764606520.0841613,28,0,28,,synced,9,0.16618191539699156,10,10,10,10,0.64,197435392,3221939,6644454,4084.1612815856934,,4084.1612815856934,16.0,3.0,,83.0
1764606532.1206727,30,0,30,,synced,9,0.16616110183526966,10,10,10,10,0.54,197443584,3401765,7235461,4120.672702789307,,4120.672702789307,14.0,4.0,,84.0
1764606544.1481729,32,1,32,,synced,9,0.16628559340069274,10,10,10,10,0.42,227434496,3595049,7839819,4148.172855377197,,4148.172855377197,11.0,5.0,,102.0
1764606556.1806083,34,1,34,,synced,9,0.16621738913679668,10,10,10,10,0.36,216289280,3777649,8456754,4180.60827255249,,4180.60827255249,15.0,1.0,,81.0
1764606568.2126086,36,1,36,,synced,9,0.1662234000656325,11,11,10,10,0.36,216227840,3992844,9065391,4212.608575820923,,4212.608575820923,10.0,2.0,,62.0
1764606580.2404974,38,1,38,,synced,9,0.16628022069661288,12,12,10,10,0.38,216141824,4176858,9682859,4240.497350692749,,4240.497350692749,14.0,3.0,,69.0
1764606592.2659805,40,1,40,,synced,9,0.16631348430204115,12,12,10,10,0.61,216215552,4343584,10293710,4265.98048210144,,4265.98048210144,13.0,2.0,,67.0
1764606604.30202,42,1,42,,synced,9,0.16616761559365684,13,13,10,10,1.19,215175168,4541406,10915404,4302.020072937012,,4302.020072937012,11.0,2.0,,66.0
1764606616.3338,44,1,44,,synced,9,0.16622644357291755,14,14,10,10,1.01,216748032,4807351,11529830,4333.8000774383545,,4333.8000774383545,17.0,3.0,,70.0
1764606628.3652558,46,1,46,,synced,9,0.16623092339677903,14,14,10,10,1.35,216039424,5045223,12127899,4365.255832672119,,4365.255832672119,19.0,3.0,,74.0
1764606640.400501,48,1,48,,synced,9,0.16617858382328327,15,15,10,10,1.22,216444928,5315213,12708854,4400.501012802124,,4400.501012802124,17.0,1.0,,76.0
1764606652.43055,50,1,50,,synced,9,0.16625036072306373,15,15,10,10,1.03,216358912,5495330,13307474,4430.550098419189,,4430.550098419189,3.0,2.0,,60.0
1764606664.4555411,52,1,52,,synced,9,0.1663202903105745,17,17,10,10,0.87,216825856,5691643,13919324,4455.541133880615,,4455.541133880615,15.0,2.0,,67.0
1764606676.4889731,54,1,54,,synced,9,0.16620362327753566,18,18,10,10,0.82,216604672,5895640,14521732,4488.973140716553,,4488.973140716553,24.0,5.0,,89.0
1764606688.5264237,56,1,56,,synced,9,0.16614813837552292,17,17,10,10,0.63,216223744,6070386,15128426,4526.423692703247,,4526.423692703247,15.0,2.0,,68.0
1764606700.5578935,58,1,58,,synced,9,0.16623072904646874,18,18,10,10,0.61,216891392,6265398,15755271,4557.893514633179,,4557.893514633179,18.0,2.0,,74.0
