timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764341946.7924373,2,0,2,,synced,14,,0,0,75,75,24.56,198471680,1036554,1325404,,
1764341958.8174536,2,0,2,,synced,14,,0,0,75,75,29.74,198537216,1439063,1833565,,
1764341970.8547404,3,0,3,,synced,14,0.08307519959182412,1,1,75,75,23.36,198660096,1555919,2047110,,
1764341982.8812122,3,0,3,,synced,14,,1,1,75,75,20.7,198881280,2027612,2601319,,
1764341994.9121249,4,0,4,,synced,14,0.08311921382136273,2,2,75,75,21.7,199340032,2161056,2801012,,
1764342006.9399755,4,0,4,,synced,14,,2,2,75,75,18.68,198520832,2574511,3244013,,
1764342018.9757514,5,0,5,,synced,14,0.08308562807399743,3,3,75,75,16.2,200687616,2713505,3422388,,
1764342030.9979844,5,0,5,,synced,14,,3,3,75,75,23.59,204677120,3099003,3894248,,
1764342043.0261173,6,0,6,,synced,14,0.08313842281470121,4,4,75,75,20.83,204656640,3209489,4084551,,
1764342055.0497048,6,0,6,,synced,14,,4,4,75,75,28.36,206815232,3597883,4527562,,
1764342067.0751388,7,0,7,,synced,14,0.08315708177943891,5,5,75,75,31.75,207634432,3719140,4723785,,
1764342079.0981443,7,0,7,,synced,14,,6,6,75,75,34.88,207101952,4080827,5116864,,
1764342091.1303687,8,0,8,,synced,14,0.08311015198564078,7,7,75,75,27.85,207818752,4150400,5316942,,
1764342103.1588483,8,0,8,,synced,14,,7,7,75,75,24.19,207704064,4589309,5791935,,
1764342115.1969957,9,0,9,,synced,14,0.08306925996674698,8,8,75,75,25.13,207745024,4669499,5989819,,
1764342127.2186954,9,0,9,,synced,14,,8,8,75,75,21.42,207491072,5102925,6468808,,
1764342139.2497315,10,0,10,,synced,14,0.08311836058717102,9,9,75,75,18.23,211197952,5229288,6692369,,
1764342151.2770417,10,0,10,,synced,14,,10,10,75,75,26.5,209920000,5740902,7174851,,
1764342163.309889,11,0,11,,synced,14,0.08310584904680894,10,10,75,75,23.26,209727488,5837149,7407297,,
1764342175.335107,11,0,11,,synced,14,,10,10,75,75,29.04,209350656,6394913,7911183,,
1764342187.372253,12,0,12,,synced,14,0.08307617206010944,11,11,75,75,26.4,208601088,6456322,8103814,,
1764342199.3993385,12,0,12,,synced,14,,11,11,75,75,30.68,208404480,6923665,8684659,,
1764342211.4353733,13,0,13,,synced,14,0.08308384071252482,12,12,75,75,26.42,208625664,7001395,8871125,,
1764342223.4551399,13,0,13,,synced,14,,12,12,75,75,22.52,207888384,7481062,9465810,,
1764342235.4883938,14,0,14,,synced,14,0.08310304159061245,12,12,75,75,18.56,208973824,7604500,9666612,,
