timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression,block_acceptance_latency_ms,block_verification_time_ms,block_execution_time_ms,time_to_finality_seconds,block_delay_total_ms
1764620377.8905115,9,0,9,,synced,2,,9,9,45,45,3.25,196272128,1006683,1166819,1890.5115127563477,,1890.5115127563477,8.0,2.0,,56.0
1764620389.9260266,11,0,11,,synced,2,0.16617485735958534,11,11,45,45,2.75,195751936,1221512,1757566,1926.0265827178955,,1926.0265827178955,3.0,1.0,,46.0
1764620401.9589653,13,0,13,,synced,2,0.16621043676354355,12,12,45,45,2.14,195686400,1451222,2349552,1958.9653015136719,,1958.9653015136719,7.0,2.0,,52.0
1764620413.992159,15,0,15,,synced,2,0.1662069163378037,14,14,45,45,1.89,194674688,1668756,2933121,1992.1588897705078,,1992.1588897705078,7.0,1.0,,56.0
1764620426.015588,17,0,17,,synced,2,0.16634189582346526,17,17,45,45,1.47,194531328,1882106,3523268,2015.5880451202393,,2015.5880451202393,4.0,1.0,,47.0
1764620438.0496356,19,0,19,,synced,2,0.16619512119932986,18,18,45,45,1.25,197816320,2091114,4118252,2049.635648727417,,2049.635648727417,4.0,1.0,,54.0
1764620450.0770113,21,0,21,,synced,2,0.16628731405785183,20,20,45,45,1.05,196763648,2295015,4693632,2077.0113468170166,,2077.0113468170166,8.0,1.0,,57.0
1764620462.111043,23,0,23,,synced,2,0.16619534180771725,23,23,45,45,0.89,197525504,2527209,5297377,2111.0429763793945,,2111.0429763793945,8.0,1.0,,59.0
1764620474.1460598,25,0,25,,synced,2,0.16618173762189814,24,24,45,45,0.75,196886528,2741065,5882513,2146.05975151062,,2146.05975151062,7.0,1.0,,56.0
1764620486.1800203,27,0,27,,synced,2,0.1661963230282373,26,26,45,45,0.66,196636672,2965746,6482397,2180.020332336426,,2180.020332336426,4.0,1.0,,44.0
1764620498.2029085,29,0,29,,synced,2,0.16634938040338507,29,29,45,45,0.56,196808704,3192009,7102446,2202.908515930176,,2202.908515930176,4.0,1.0,,47.0
1764620510.236687,31,0,31,,synced,2,0.1661988386935079,31,31,45,45,0.47,196997120,3406503,7707150,2236.686944961548,,2236.686944961548,9.0,1.0,,74.0
1764620522.2696128,33,1,33,,synced,2,0.16621061460004488,33,33,45,45,0.36,237207552,3653121,8344616,2269.6127891540527,,2269.6127891540527,9.0,2.0,,60.0
1764620534.3046036,35,1,35,,synced,2,0.16618209646460735,36,36,45,45,0.31,219570176,3863804,8960369,2304.6035766601562,,2304.6035766601562,3.0,1.0,,52.0
1764620546.3401628,37,1,37,,synced,2,0.16617424836859737,38,38,45,45,0.24,220053504,4080709,9579005,2340.162754058838,,2340.162754058838,8.0,1.0,,51.0
1764620558.376247,39,1,39,,synced,2,0.16616700007265814,41,41,45,45,0.2,219959296,4303023,10210627,2376.246929168701,,2376.246929168701,3.0,2.0,,61.0
1764620570.4130366,41,1,41,,synced,2,0.1661572609649555,43,43,45,45,0.17,220823552,4515343,10836915,2413.036584854126,,2413.036584854126,7.0,2.0,,54.0
1764620582.4423754,43,1,43,,synced,2,0.16626017665270615,44,44,45,45,0.13,221515776,4735373,11472044,2442.375421524048,,2442.375421524048,7.0,1.0,,55.0
1764620594.4695742,45,1,45,,synced,2,0.1662897599574735,46,46,45,45,0.11,221188096,4954531,12093575,2469.574213027954,,2469.574213027954,8.0,2.0,,54.0
1764620606.4941692,47,1,47,,synced,2,0.1663257678372795,47,47,45,45,0.16,220524544,5167881,12723266,2494.169235229492,,2494.169235229492,7.0,1.0,,53.0
1764620618.5418324,49,1,49,,synced,2,0.16600729658821944,49,49,45,45,0.13,219959296,5387690,13374262,2541.832447052002,,2541.832447052002,3.0,1.0,,49.0
1764620630.567367,51,1,51,,synced,2,0.16631277207753056,51,51,45,45,0.1,220024832,5590772,13999176,2567.3670768737793,,2567.3670768737793,7.0,2.0,,48.0
1764620642.6033826,53,1,53,,synced,2,0.16616794804272386,53,53,45,45,0.09,219865088,5813654,14645920,2603.3825874328613,,2603.3825874328613,4.0,1.0,,51.0
1764620654.6399133,55,1,55,,synced,2,0.16616083523956454,56,56,45,45,0.07,220315648,6034155,15298640,2639.913320541382,,2639.913320541382,4.0,1.0,,48.0
1764620666.6681833,57,1,57,,synced,2,0.16627495051012758,58,58,45,45,0.22,220463104,6251307,15944137,2668.1833267211914,,2668.1833267211914,9.0,2.0,,61.0
