timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression,block_acceptance_latency_ms,block_verification_time_ms,block_execution_time_ms,time_to_finality_seconds,block_delay_total_ms
1764616131.4413488,9,0,9,,synced,4,,9,9,50,50,0.93,198680576,1604613,1789952,3441.3487911224365,,3441.3487911224365,11.0,1.0,,70.0
1764616143.5206444,11,0,11,,synced,4,0.16557256816928737,10,10,50,50,0.86,199606272,1990842,2502996,3520.644426345825,,3520.644426345825,15.0,1.0,,76.0
1764616155.5558345,13,0,13,,synced,4,0.1661793442794292,11,11,50,50,0.67,200450048,2354474,3223137,3555.8345317840576,,3555.8345317840576,12.0,2.0,,66.0
1764616167.591363,15,0,15,,synced,4,0.16617467301589628,15,15,50,50,0.65,200986624,2659209,4027278,3591.362953186035,,3591.362953186035,16.0,1.0,,81.0
1764616179.6255624,17,0,17,,synced,4,0.16619302380257225,17,17,50,50,0.5,200581120,3007192,4781629,3625.5624294281006,,3625.5624294281006,4.0,4.0,,62.0
1764616191.6566794,19,0,19,,synced,4,0.16623560441187596,19,19,50,50,0.51,202379264,3397575,5505596,3656.679391860962,,3656.679391860962,10.0,3.0,,78.0
1764616203.6897697,21,0,21,,synced,4,0.16620834227338502,20,20,50,50,0.74,201568256,3792951,6215793,3689.769744873047,,3689.769744873047,14.0,1.0,,72.0
1764616215.7242243,23,0,23,,synced,4,0.16618950082198208,22,22,50,50,0.57,200953856,4201957,6936996,3724.224328994751,,3724.224328994751,4.0,1.0,,62.0
1764616227.7576904,25,0,25,,synced,4,0.1662031523805816,24,24,50,50,0.48,200511488,4591445,7663301,3757.6904296875,,3757.6904296875,8.0,1.0,,63.0
1764616239.782233,27,0,27,,synced,4,0.16632649336456348,26,26,50,50,0.52,200740864,4938361,8435534,3782.2329998016357,,3782.2329998016357,9.0,1.0,,61.0
1764616251.8099568,29,0,29,,synced,4,0.16628250158133345,30,30,50,50,0.44,201162752,5303073,9211108,3809.9567890167236,,3809.9567890167236,12.0,1.0,,72.0
1764616263.8440514,31,0,31,,synced,4,0.16619447254821038,32,32,50,50,0.37,201228288,5663445,9974902,3844.0513610839844,,3844.0513610839844,16.0,1.0,,99.0
1764616275.8776894,33,1,33,,synced,4,0.1662007781785398,32,32,50,50,0.44,229199872,6000420,10799869,3877.6893615722656,,3877.6893615722656,4.0,1.0,,65.0
1764616287.908806,35,1,35,,synced,4,0.16623560770613846,35,35,50,50,0.44,223608832,6366839,11579499,3908.806085586548,,3908.806085586548,9.0,2.0,,67.0
1764616299.933326,37,1,37,,synced,4,0.16632680666239288,37,37,50,50,0.35,224387072,6761396,12343238,3933.326005935669,,3933.326005935669,10.0,2.0,,62.0
1764616311.95862,39,1,39,,synced,4,0.16631609914155748,39,39,50,50,0.29,223830016,7140203,13126487,3958.620071411133,,3958.620071411133,5.0,2.0,,58.0
1764616323.9830582,41,1,41,,synced,4,0.1663279378422743,41,41,50,50,0.25,224452608,7539348,13904092,3983.058214187622,,3983.058214187622,12.0,2.0,,63.0
1764616336.0202727,43,1,43,,synced,4,0.16615139632818163,44,44,50,50,0.27,224174080,7913958,14760888,4020.272731781006,,4020.272731781006,13.0,1.0,,74.0
1764616348.113642,45,1,45,,synced,4,0.16537988375236162,47,47,50,50,0.23,224325632,8378997,15642072,4113.641977310181,,4113.641977310181,11.0,1.0,,68.0
1764616360.4286516,47,1,47,,synced,4,0.16240344635868806,48,48,50,50,0.25,224583680,8750276,16467292,4428.651571273804,,4428.651571273804,12.0,2.0,,66.0
1764616372.4637735,49,1,49,,synced,4,0.1661802858062052,49,49,50,50,0.21,224481280,9102511,17280415,4463.773488998413,,4463.773488998413,11.0,1.0,,73.0
1764616384.4897418,51,1,51,,synced,4,0.16630677446587783,51,51,50,50,0.18,224243712,9416093,18132111,4489.741802215576,,4489.741802215576,3.0,2.0,,54.0
1764616396.5203557,53,1,53,,synced,4,0.1662425555962566,52,52,50,50,0.14,224444416,9789416,18893476,4520.355701446533,,4520.355701446533,13.0,1.0,,65.0
1764616408.5480385,55,1,55,,synced,4,0.16628306851614694,55,55,50,50,0.11,224452608,10155720,19698421,4548.038482666016,,4548.038482666016,10.0,2.0,,67.0
1764616420.58199,57,1,57,,synced,4,0.16619644815114998,57,57,50,50,0.09,227557376,10461565,20578011,4581.990003585815,,4581.990003585815,12.0,2.0,,68.0
