timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764343660.7712119,8,0,8,,synced,4,,8,8,50,50,1.41,198127616,1420971,1654627,,
1764343672.7932642,10,0,10,,synced,4,0.16636094670683738,9,9,50,50,1.26,200617984,1777410,2054928,,
1764343684.8134775,12,0,12,,synced,4,0.16638639757686924,11,11,50,50,1.12,202166272,2162525,2444337,,
1764343696.8405585,14,0,14,,synced,4,0.16629138839954632,14,14,50,50,1.03,202199040,2477262,2895767,,
1764343708.8669055,16,0,16,,synced,4,0.16630153886169216,16,16,50,50,0.87,201539584,2826529,3332120,,
1764343720.8937259,18,0,18,,synced,4,0.16629499152339614,18,18,50,50,0.68,199827456,3185318,3760146,,
1764343732.9160185,20,0,20,,synced,4,0.16635762114738378,21,21,50,50,0.64,199827456,3546679,4184824,,
1764343744.943708,22,0,22,,synced,4,0.16628297622416968,23,23,50,50,0.5,201142272,3904424,4586790,,
1764343756.9622037,24,0,24,,synced,4,0.16641017591522186,23,23,50,50,0.82,201064448,4284093,4955028,,
1764343768.9888895,26,0,26,,synced,4,0.16629685413262532,26,26,50,50,0.78,200040448,4688666,5329796,,
1764343781.0077448,28,0,28,,synced,4,0.16640519787720603,27,27,50,50,0.6,199262208,5098443,5758779,,
1764343793.145735,30,0,30,,synced,4,0.16477192361068865,29,29,50,50,0.51,200527872,5464524,6265619,,
1764343805.3340456,32,1,32,,synced,4,0.16409164992875794,32,32,50,50,0.4,250867712,5885022,6708717,,
1764343817.4405131,34,1,34,,synced,4,0.16520095580377447,35,35,50,50,0.34,226906112,6261796,7133488,,
1764343829.4557364,36,1,36,,synced,4,0.16645550032156642,36,36,50,50,0.36,226902016,6643578,7524992,,
1764343841.4790123,38,1,38,,synced,4,0.16634401677089383,37,37,50,50,0.44,227282944,6990570,7982888,,
1764343853.5060112,40,1,40,,synced,4,0.16629252239424053,41,41,50,50,0.53,228048896,7386351,8394896,,
1764343865.5329928,42,1,42,,synced,4,0.1662927630404527,44,44,50,50,0.41,227483648,7743177,8835157,,
1764343877.5599713,44,1,44,,synced,4,0.16629280589533066,44,44,50,50,0.35,227999744,8054702,9330595,,
1764343889.5872202,46,1,46,,synced,4,0.16628906771443125,46,46,50,50,0.42,227074048,8415254,9750500,,
1764343901.6029034,48,1,48,,synced,4,0.1664491291103189,49,49,50,50,0.36,226603008,8810322,10191473,,
1764343913.6297057,50,1,50,,synced,4,0.1662952420666336,50,50,50,50,0.38,227459072,9171997,10638803,,
1764343925.6580405,52,1,52,,synced,4,0.16627405405136478,52,52,50,50,0.37,227610624,9542376,11058020,,
1764343937.678713,54,1,54,,synced,4,0.16638004155431094,55,55,50,50,0.61,227106816,9920909,11460565,,
1764343949.7061915,56,1,56,,synced,4,0.1662858933594355,57,57,50,50,0.47,226467840,10283869,11896925,,
