timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764344100.1933875,4,0,4,,synced,4,,4,4,50,50,1.56,196734976,751242,970564,,
1764344112.3569705,5,0,5,,synced,4,0.08221261750686255,4,4,50,50,1.39,196771840,929489,1217596,,
1764344124.4157655,6,0,6,,synced,4,0.08292702563149078,5,5,50,50,1.4,196608000,1129378,1431332,,
1764344136.447372,7,0,7,,synced,4,0.08311442078312326,5,5,50,50,1.16,195649536,1297553,1658009,,
1764344148.4705439,8,0,8,,synced,4,0.08317272747787685,7,7,50,50,0.98,195776512,1496461,1854050,,
1764344160.4972901,9,0,9,,synced,4,0.08314800838873654,8,8,50,50,0.84,199913472,1682899,2057634,,
1764344172.5134354,10,0,10,,synced,4,0.0832213643322418,10,10,50,50,0.71,199303168,1848234,2305030,,
1764344184.5405035,11,0,11,,synced,4,0.083145783204659,11,11,50,50,0.75,199516160,2043931,2525729,,
1764344196.566876,12,0,12,,synced,4,0.08315059304834506,11,11,50,50,0.66,200142848,2243058,2732401,,
1764344208.593426,13,0,13,,synced,4,0.08314936498531898,13,13,50,50,0.56,201003008,2425171,2940963,,
1764344220.6151536,14,0,14,,synced,4,0.0831827201911517,13,13,50,50,0.51,200605696,2591038,3189881,,
1764344232.6424932,15,0,15,,synced,4,0.08314390590124128,15,15,50,50,0.43,200859648,2770501,3408004,,
1764344244.6694267,16,0,16,,synced,4,0.08314671447091032,16,16,50,50,0.33,200384512,2968929,3612827,,
1764344256.6964452,17,0,17,,synced,4,0.08314612604007393,17,17,50,50,0.58,199958528,3119167,3859452,,
1764344268.7182276,18,0,18,,synced,4,0.08318234076069636,18,18,50,50,0.49,200392704,3307881,4075882,,
1764344280.7449808,19,0,19,,synced,4,0.08314796058723421,19,19,50,50,0.61,199827456,3485679,4314593,,
1764344292.772303,20,0,20,,synced,4,0.08314402621753064,20,20,50,50,0.51,199462912,3657159,4554928,,
1764344304.7993712,21,0,21,,synced,4,0.083145783204659,20,20,50,50,0.62,199536640,3832548,4779052,,
1764344316.8274763,22,0,22,,synced,4,0.08313861562513299,21,21,50,50,0.6,199081984,3995530,5024202,,
1764344328.855229,23,0,23,,synced,4,0.08314105137580043,21,21,50,50,0.51,199356416,4147413,5272577,,
1764344340.8828595,24,0,24,,synced,4,0.08314189518739457,23,23,50,50,0.47,199454720,4319480,5529119,,
1764344352.909454,25,0,25,,synced,4,0.08314905673895273,24,24,50,50,0.4,199299072,4495451,5755942,,
1764344364.9357042,26,0,26,,synced,4,0.08315143870209576,25,25,50,50,0.31,199340032,4691938,5980515,,
1764344376.9531715,27,0,27,,synced,4,0.08321220922302591,26,26,50,50,0.33,198975488,4854701,6243039,,
1764344388.9716966,28,0,28,,synced,4,0.08320488493523066,26,26,50,50,0.36,199188480,5030389,6471680,,
