timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression,block_acceptance_latency_ms,block_verification_time_ms,block_execution_time_ms,time_to_finality_seconds,block_delay_total_ms
1764611473.3188007,2,0,2,,synced,4,,0,0,25,25,0.6,192589824,295249,433478,1318.800687789917,,1318.800687789917,12.0,1.0,,60.0
1764611485.3519807,2,0,2,,synced,4,,2,2,25,25,0.46,194097152,369008,820187,1318.800687789917,,13351.980686187744,12.0,1.0,,60.0
1764611497.3761008,3,0,3,,synced,4,0.0831661686939347,2,2,25,25,0.54,194371584,400779,1180397,1376.100778579712,,1376.100778579712,10.0,2.0,,68.0
1764611509.4094548,3,0,3,,synced,4,,3,3,25,25,0.42,194363392,475524,1580000,1376.100778579712,,13409.454822540283,10.0,2.0,,68.0
1764611521.4446125,4,0,4,,synced,4,0.08308989599856258,3,3,25,25,0.35,193024000,508562,1949285,1444.6125030517578,,1444.6125030517578,12.0,2.0,,62.0
1764611533.4740946,4,0,4,,synced,4,,3,3,25,25,0.62,192618496,578250,2350226,1444.6125030517578,,13474.09462928772,12.0,2.0,,62.0
1764611545.508976,5,0,5,,synced,4,0.0830918037857757,3,3,25,25,0.48,193171456,598114,2711210,1508.9759826660156,,1508.9759826660156,10.0,2.0,,55.0
1764611557.5421367,5,0,5,,synced,4,,4,4,25,25,0.41,193548288,690358,3095601,1508.9759826660156,,13542.136669158936,10.0,2.0,,55.0
1764611569.5768428,6,0,6,,synced,4,0.08309301368760115,3,3,25,25,0.32,195612672,721481,3458240,1576.8427848815918,,1576.8427848815918,13.0,1.0,,64.0
1764611581.6060715,6,0,6,,synced,4,,5,5,25,25,0.35,194875392,792406,3882242,1576.8427848815918,,13606.071472167969,13.0,1.0,,64.0
1764611593.642334,7,0,7,,synced,4,0.08308226901713153,5,5,25,25,0.44,196579328,824047,4264434,1642.333984375,,1642.333984375,4.0,1.0,,51.0
1764611605.6705236,7,0,7,,synced,4,,6,6,25,25,0.49,196780032,915991,4688466,1642.333984375,,13670.523643493652,4.0,1.0,,51.0
1764611617.7054548,8,0,8,,synced,4,0.08309145975209872,6,6,25,25,0.41,196489216,936442,5079993,1705.4548263549805,,1705.4548263549805,10.0,2.0,,60.0
1764611629.7389896,8,0,8,,synced,4,,7,7,25,25,0.32,196157440,1033282,5500564,1705.4548263549805,,13738.98959159851,10.0,2.0,,60.0
1764611641.7731228,9,0,9,,synced,4,0.08309696957173472,7,7,25,25,0.27,196415488,1065713,5896637,1773.122787475586,,1773.122787475586,12.0,2.0,,71.0
1764611653.8060126,9,0,9,,synced,4,,7,7,25,25,0.29,196214784,1157058,6317050,1773.122787475586,,13806.012630462646,12.0,2.0,,71.0
1764611665.8403761,10,0,10,,synced,4,0.08309537927091724,6,6,25,25,0.24,196739072,1186547,6705317,1840.3761386871338,,1840.3761386871338,11.0,1.0,,58.0
1764611677.8683062,10,0,10,,synced,4,,7,7,25,25,0.21,195522560,1290980,7134240,1840.3761386871338,,13868.306159973145,11.0,1.0,,58.0
1764611689.9028928,11,0,11,,synced,4,0.08309383841638665,7,7,25,25,0.16,195850240,1320422,7535369,1902.892827987671,,1902.892827987671,4.0,2.0,,54.0
1764611701.936995,11,0,11,,synced,4,,8,8,25,25,0.13,195764224,1423303,7974680,1902.892827987671,,13936.995029449463,4.0,2.0,,54.0
1764611713.971529,12,0,12,,synced,4,0.08309420222410852,8,8,25,25,0.47,196341760,1453248,8372997,1971.5290069580078,,1971.5290069580078,12.0,1.0,,62.0
1764611726.0058906,12,0,12,,synced,4,,9,9,25,25,0.4,196276224,1534732,8803297,1971.5290069580078,,14005.890607833862,12.0,1.0,,62.0
1764611738.039681,13,0,13,,synced,4,0.08309933702669972,9,9,25,25,0.34,197070848,1640219,9260293,2039.6809577941895,,2039.6809577941895,4.0,2.0,,45.0
1764611750.2265847,13,0,13,,synced,4,,9,9,25,25,0.42,196603904,1662672,9626389,2039.6809577941895,,14226.584672927856,4.0,2.0,,45.0
1764611762.253864,14,0,14,,synced,4,0.08314432288932104,9,9,25,25,0.36,196800512,1741858,10108242,2253.864049911499,,2253.864049911499,8.0,3.0,,57.0
