timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764351825.7737992,8,0,8,,synced,14,,7,7,225,225,77.05,208207872,6042429,6446912,,
1764351837.8377416,10,0,10,,synced,14,0.16578328446163923,9,9,225,225,85.38,207495168,7797498,8236767,,
1764351849.877294,12,0,12,,synced,14,0.16611913177637178,11,11,225,225,97.33,208543744,9365384,10228724,,
1764351861.9078991,14,0,14,,synced,14,0.16624267749424965,14,14,225,225,99.67,209448960,11033763,12049237,,
1764351873.9357228,16,0,16,,synced,14,0.16628112051793806,17,17,225,225,112.47,211099648,12668318,13645344,,
1764351885.9637299,18,0,18,,synced,14,0.16627858588132305,17,17,225,225,115.65,211378176,14287941,15316988,,
1764351897.9917297,20,0,20,,synced,14,0.16627868476036672,20,20,225,225,114.49,211501056,15946449,17123957,,
1764351910.013845,22,0,22,,synced,14,0.1663600757141294,21,21,225,225,125.11,211701760,17468361,18866498,,
1764351922.0381467,24,0,24,,synced,14,0.16632982427560114,23,23,225,225,120.18,212762624,19107673,20654519,,
1764351934.063237,26,0,26,,synced,14,0.16631891851209524,24,24,225,225,129.49,213053440,20644701,22383149,,
1764351946.0907247,28,0,28,,synced,14,0.1662857648055561,28,28,225,225,133.2,215023616,22232374,24250401,,
1764351958.1088114,30,0,30,,synced,14,0.1664158409414756,29,29,225,225,125.59,216166400,23873821,26210012,,
1764351970.140258,32,1,32,,synced,14,0.16623104857179574,31,31,225,225,131.52,260603904,25507503,28139173,,
1764351982.158556,34,1,34,,synced,14,0.16641291594386212,34,34,225,225,127.03,236425216,27322405,29890099,,
1764351994.187381,36,1,36,,synced,14,0.16626727819044385,35,35,225,225,132.23,237486080,29122029,31604573,,
1764352006.208215,38,1,38,,synced,14,0.16637780749142506,37,37,225,225,123.39,237064192,30791738,33535052,,
1764352018.2379248,40,1,40,,synced,14,0.1662550494230052,39,39,225,225,127.33,237322240,32576586,35502634,,
1764352030.2684767,42,1,42,,synced,14,0.16624341218053376,42,42,225,225,133.53,237346816,34354436,37482994,,
1764352042.296869,44,1,44,,synced,14,0.16627325977061108,42,42,225,225,126.18,239198208,36193908,39463094,,
1764352054.3257494,46,1,46,,synced,14,0.16626651363380743,44,44,225,225,131.81,238624768,37941457,41322891,,
1764352066.3493361,48,1,48,,synced,14,0.16633971555908006,47,47,225,225,124.83,238452736,39684302,43148025,,
1764352078.367743,50,1,50,,synced,14,0.16641140726632694,49,49,225,225,129.31,239132672,41440893,45007995,,
1764352090.3977463,52,1,52,,synced,14,0.166250993336153,53,53,225,225,134.77,239251456,43075319,46855297,,
1764352102.420272,54,1,54,,synced,14,0.16635439468999086,54,54,225,225,125.97,239788032,44691544,48643722,,
1764352114.447257,56,1,56,,synced,14,0.16629271688907035,56,56,225,225,133.14,244666368,46290307,50680442,,
