timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression,block_acceptance_latency_ms,block_verification_time_ms,block_execution_time_ms,time_to_finality_seconds,block_delay_total_ms
1764611038.0286152,6,0,6,,synced,4,,3,3,25,25,1.11,195371008,677178,850472,10028.615236282349,,10028.615236282349,9.0,2.0,,69.0
1764611050.0630105,7,0,7,,synced,4,0.08309516032122412,5,5,25,25,0.86,196255744,782949,1305882,10063.010454177856,,10063.010454177856,16.0,2.0,,61.0
1764611062.0964396,8,0,8,,synced,4,0.08310183139674265,6,6,25,25,0.81,195837952,881488,1793668,10096.439599990845,,10096.439599990845,12.0,1.0,,62.0
1764611074.1311665,9,0,9,,synced,4,0.08309287047289353,7,7,25,25,0.92,197943296,979657,2276835,10131.166458129883,,10131.166458129883,12.0,2.0,,61.0
1764611086.1640496,10,0,10,,synced,4,0.08310560204891779,6,6,25,25,0.78,197734400,1060282,2760536,10164.049625396729,,10164.049625396729,11.0,1.0,,61.0
1764611098.197609,11,0,11,,synced,4,0.08310093241839908,7,7,25,25,0.66,199979008,1159359,3237121,10197.608947753906,,10197.608947753906,9.0,1.0,,59.0
1764611110.2280488,12,0,12,,synced,4,0.08312248032187194,9,9,25,25,0.59,199548928,1250198,3724391,10228.04880142212,,10228.04880142212,11.0,1.0,,58.0
1764611122.2618399,13,0,13,,synced,4,0.08309933208750166,11,11,25,25,0.9,198922240,1365247,4185473,10261.839866638184,,10261.839866638184,10.0,1.0,,58.0
1764611134.2952487,14,0,14,,synced,4,0.08310197134933336,11,11,25,25,0.7,198000640,1451954,4668953,10295.248746871948,,10295.248746871948,9.0,2.0,,60.0
1764611146.3287044,15,0,15,,synced,4,0.08310164863583394,11,11,25,25,0.67,197513216,1566614,5148780,10328.704357147217,,10328.704357147217,3.0,1.0,,47.0
1764611158.3621173,16,0,16,,synced,4,0.08310194335877752,11,11,25,25,0.57,197038080,1679866,5619588,10362.117290496826,,10362.117290496826,3.0,1.0,,48.0
1764611170.3961716,17,0,17,,synced,4,0.08309751450247671,12,12,25,25,0.52,195964928,1778208,6097634,10396.171569824219,,10396.171569824219,3.0,2.0,,44.0
1764611182.428423,18,0,18,,synced,4,0.08310996589449089,13,13,25,25,0.44,196751360,1896704,6574936,10428.422927856445,,10428.422927856445,10.0,1.0,,58.0
1764611194.451997,19,0,19,,synced,4,0.08316994518696762,13,13,25,25,0.34,195903488,2009689,7042871,10451.99704170227,,10451.99704170227,9.0,1.0,,57.0
1764611206.47565,20,0,20,,synced,4,0.08316939930585354,14,14,25,25,0.45,197578752,2117430,7521360,10475.650072097778,,10475.650072097778,13.0,1.0,,61.0
1764611218.5097795,21,0,21,,synced,4,0.08309699591263339,15,15,25,25,0.38,197451776,2232212,8005790,10509.779453277588,,10509.779453277588,4.0,4.0,,55.0
1764611230.5341778,22,0,22,,synced,4,0.08316424429861596,16,16,25,25,0.29,197472256,2340285,8481741,10534.177780151367,,10534.177780151367,13.0,2.0,,57.0
1764611242.5675747,23,0,23,,synced,4,0.08310205367460692,16,16,25,25,0.25,197185536,2449042,8972815,10567.574739456177,,10567.574739456177,9.0,1.0,,56.0
1764611254.6067243,24,0,24,,synced,4,0.08306234573361895,17,17,25,25,0.27,196222976,2574542,9444065,10606.724262237549,,10606.724262237549,12.0,2.0,,65.0
1764611266.6408045,25,0,25,,synced,4,0.08309733505319537,18,18,25,25,0.22,196747264,2690604,9957479,10640.804529190063,,10640.804529190063,10.0,1.0,,60.0
1764611278.6719756,26,0,26,,synced,4,0.08311742830883413,20,20,25,25,0.25,195801088,2799380,10449353,10671.97561264038,,10671.97561264038,4.0,1.0,,52.0
1764611290.7056892,27,0,27,,synced,4,0.08309986717070592,21,21,25,25,0.21,195321856,2888268,10947358,10705.689191818237,,10705.689191818237,9.0,1.0,,55.0
1764611302.7348664,28,0,28,,synced,4,0.08313120542650056,21,21,25,25,0.18,195170304,2992746,11441883,10734.866380691528,,10734.866380691528,8.0,2.0,,55.0
1764611314.7688026,29,0,29,,synced,4,0.08309832944245121,22,22,25,25,0.14,194772992,3096336,11927606,10768.802642822266,,10768.802642822266,9.0,2.0,,61.0
1764611326.8027878,30,0,30,,synced,4,0.08309799194011863,23,23,25,25,0.12,194609152,3200706,12411719,10802.787780761719,,10802.787780761719,13.0,1.0,,64.0
