timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764348664.544938,2,0,2,,synced,2,,0,0,45,45,1.37,191537152,210078,346461,,
1764348676.570809,2,0,2,,synced,2,,1,1,45,45,1.14,191483904,295156,445632,,
1764348688.5988545,3,0,3,,synced,2,0.0831390259682596,1,1,45,45,0.96,191836160,323336,510685,,
1764348700.6250525,3,0,3,,synced,2,,2,2,45,45,0.82,190509056,411107,613291,,
1764348712.6499498,4,0,4,,synced,2,0.08316079314260676,2,2,45,45,0.77,190590976,441710,680078,,
1764348724.6759453,4,0,4,,synced,2,,4,4,45,45,0.65,190689280,529060,790222,,
1764348736.7031686,5,0,5,,synced,2,0.08314471021401154,5,5,45,45,0.73,190812160,556838,862544,,
1764348748.7303815,5,0,5,,synced,2,,7,7,45,45,0.62,190500864,644656,968463,,
1764348760.7575626,6,0,6,,synced,2,0.08314500194605466,7,7,45,45,0.55,190304256,670226,1039948,,
1764348772.780448,6,0,6,,synced,2,,8,8,45,45,0.47,189976576,755275,1145661,,
1764348784.8074362,7,0,7,,synced,2,0.08314633536885682,8,8,45,45,0.47,189546496,788098,1228901,,
1764348796.8334386,7,0,7,,synced,2,,9,9,45,45,0.45,188829696,873790,1336293,,
1764348808.8610666,8,0,8,,synced,2,0.08314191331634724,8,8,45,45,0.45,188809216,901575,1407477,,
1764348820.8757243,8,0,8,,synced,2,,10,10,45,45,0.43,187490304,990302,1517168,,
1764348832.9038594,9,0,9,,synced,2,0.08313840798316659,9,9,45,45,0.36,187445248,1019565,1594257,,
1764348844.9307044,9,0,9,,synced,2,,11,11,45,45,0.39,187035648,1115685,1704952,,
1764348856.959352,10,0,10,,synced,2,0.08313486504595821,11,11,45,45,0.37,188432384,1139173,1775687,,
1764348868.983722,10,0,10,,synced,2,,12,12,45,45,0.39,187932672,1230930,1885565,,
1764348881.0093677,11,0,11,,synced,2,0.08315561776993591,12,12,45,45,0.44,187199488,1258773,1968547,,
1764348893.035315,11,0,11,,synced,2,,14,14,45,45,0.37,187342848,1354271,2075047,,
1764348905.0507808,12,0,12,,synced,2,0.08322607062758068,13,13,45,45,0.32,187600896,1386963,2157957,,
1764348917.0662224,12,0,12,,synced,2,,14,14,45,45,0.33,187166720,1473306,2266434,,
1764348929.0932772,13,0,13,,synced,2,0.08314587550622336,13,13,45,45,0.35,187011072,1501749,2338711,,
1764348941.1201031,13,0,13,,synced,2,,14,14,45,45,0.27,186044416,1592930,2446843,,
1764348953.1404953,14,0,14,,synced,2,0.08319196121623544,14,14,45,45,0.23,186216448,1624560,2521968,,
