timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764340478.1710324,3,0,3,,synced,9,,1,1,50,50,12.23,195182592,978576,1103696,,
1764340490.194719,3,0,3,,synced,9,,2,2,50,50,10.08,195444736,1280958,1449270,,
1764340502.2297285,4,0,4,,synced,9,0.0830909198389619,2,2,50,50,8.98,197341184,1314310,1551005,,
1764340514.2533898,4,0,4,,synced,9,,4,4,50,50,7.29,198082560,1658739,1857996,,
1764340526.2841372,5,0,5,,synced,9,0.08312035533774342,4,4,50,50,6.77,198606848,1693206,1962126,,
1764340538.3115199,5,0,5,,synced,9,,5,5,50,50,5.95,197607424,1988428,2309599,,
1764340550.3447106,6,0,6,,synced,9,0.08310347792765964,5,5,50,50,5.14,198119424,2013384,2404906,,
1764340562.3729188,6,0,6,,synced,9,,7,7,50,50,4.74,197308416,2313070,2761916,,
1764340574.4127228,7,0,7,,synced,9,0.08305783063521882,7,7,50,50,6.2,197828608,2370403,2878138,,
1764340586.4767344,7,0,7,,synced,9,,8,8,50,50,14.33,197689344,2690335,3215397,,
1764340598.5147328,8,0,8,,synced,9,0.08307028823439414,7,7,50,50,13.74,198025216,2750557,3325604,,
1764340610.571725,8,0,8,,synced,9,,8,8,50,50,12.69,197361664,3045428,3669960,,
1764340622.6177568,9,0,9,,synced,9,0.08301488855356348,8,8,50,50,11.66,197967872,3111848,3779987,,
1764340634.6497211,9,0,9,,synced,9,,9,9,50,50,10.02,197681152,3394243,4143745,,
1764340646.6887236,10,0,10,,synced,9,0.08306336067030165,8,8,50,50,8.79,197701632,3466115,4250407,,
1764340658.737725,10,0,10,,synced,9,,9,9,50,50,8.83,197558272,3775346,4600244,,
1764340670.7757328,11,0,11,,synced,9,0.08307022406974826,9,9,50,50,9.41,199524352,3832837,4713820,,
1764340682.8131878,11,0,11,,synced,9,,10,10,50,50,9.52,199036928,4124269,5069481,,
1764340694.8617332,12,0,12,,synced,9,0.08299757108214854,10,10,50,50,10.31,198475776,4192994,5185272,,
1764340706.8997386,12,0,12,,synced,9,,11,11,50,50,17.37,198373376,4551910,5498751,,
1764340718.937748,13,0,13,,synced,9,0.08307021255302745,11,11,50,50,16.3,198430720,4609760,5604645,,
1764340730.9671006,13,0,13,,synced,9,,12,12,50,50,14.11,198090752,4902485,5932663,,
1764340742.997516,14,0,14,,synced,9,0.08312264999583129,12,12,50,50,12.24,198332416,4973805,6037803,,
1764340755.01826,14,0,14,,synced,9,,13,13,50,50,9.9,197455872,5308175,6341662,,
1764340767.0415063,15,0,15,,synced,9,0.08317221289670756,13,13,50,50,8.6,197771264,5377658,6452655,,
