timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764413431.6632118,7,0,7,,synced,4,,0,0,15,15,1.62,205389824,448894,917280,,
1764413443.6881876,7,0,7,,synced,4,,0,0,15,15,1.33,205922304,515844,1048751,,
1764413455.7142909,11,0,11,,synced,4,0.33260981667481576,0,0,15,15,1.12,208973824,634123,1292556,,
1764413467.7409403,13,0,13,,synced,4,0.16629735523108027,0,0,15,15,1.03,212148224,761592,1473431,,
1764413479.7669647,16,0,16,,synced,4,0.2494589994822049,0,0,15,15,0.87,215085056,906102,1625132,,
1764413491.7895672,16,0,16,,synced,4,,2,2,15,15,0.74,214368256,964150,1772128,,
1764413503.8159373,16,0,16,,synced,4,,3,3,15,15,0.57,212922368,1015898,1916117,,
1764413515.8442378,16,0,16,,synced,4,,2,2,15,15,0.48,212865024,1067339,2076924,,
1764413527.8678138,16,0,16,,synced,4,,2,2,15,15,0.57,212353024,1115835,2222318,,
1764413539.883921,26,0,26,,synced,4,0.8322162853121139,3,3,15,15,0.44,214577152,1231979,2467902,,
1764413551.9042926,27,0,27,,synced,4,0.08319210312264533,4,4,15,15,0.45,214118400,1349063,2624832,,
1764413563.9305253,27,0,27,,synced,4,,4,4,15,15,0.35,212946944,1391898,2761968,,
1764413575.9571114,27,0,27,,synced,4,,5,5,15,15,0.29,213241856,1440642,2934591,,
1764413587.9831169,34,1,34,,synced,4,0.5820719104284052,5,5,15,15,0.25,223563776,1567259,3089098,,
1764413600.0025258,35,1,35,,synced,4,0.08319876666867342,5,5,15,15,0.19,220696576,1678775,3267110,,
1764413612.0291862,38,1,38,,synced,4,0.24944580537381747,6,6,15,15,0.16,217702400,1767236,3415768,,
1764413624.0494988,39,1,39,,synced,4,0.08319251234384063,6,6,15,15,0.13,216834048,1891482,3561700,,
1764413636.0665677,41,1,41,,synced,4,0.16642993585333007,7,7,15,15,0.11,219066368,2011025,3845934,,
1764413648.0917897,44,1,44,,synced,4,0.24947564246771697,7,7,15,15,0.16,219234304,2096342,3999743,,
1764413660.118068,46,1,46,,synced,4,0.1663024883674508,7,7,15,15,0.13,220196864,2202706,4165137,,
1764413672.1409645,46,1,46,,synced,4,,8,8,15,15,0.11,218972160,2283644,4321548,,
1764413684.1672459,49,1,49,,synced,4,0.24945366826137327,8,8,15,15,0.08,219144192,2407555,4471394,,
1764413696.1924055,51,1,51,,synced,4,0.16631795892612938,8,8,15,15,0.07,218587136,2522767,4660002,,
1764413708.2199407,54,1,54,,synced,4,0.2494276632813607,8,8,15,15,0.06,219361280,2633917,4906913,,
1764413720.246645,54,1,54,,synced,4,,8,8,15,15,0.11,219000832,2712444,5078731,,
